"cond.SN","cond.SN.dil","strain","well","fit","fit.se","od600.m","od600.sd","cfu.m","cfu.sd","REP","cfu.se"
"E",0.00625,"C","B05",0.294289357997351,0.108547055258912,0.0742,0.0117075474232081,368833.576642336,58195.910913903,1,18403.1628996185
"E",0.00625,"C","B11",0.248767384374675,0.179773832549828,0.1961,0.0223529764361607,974774.452554744,111112.240533032,2,35136.7756008863
"E",0.025,"C","B03",0.343788279419555,0.145140017940106,0.0705,0.0165075740192192,350441.605839416,82055.8971320311,1,25948.3530385697
"M",0.0125,"C","D10",0.107041241840271,0.119481182278631,0.2669,0.0094686617615984,1326707.29927007,47066.8515302811,2,14883.845312867
"M",0.05,"C","D02",0.244082887232441,0.0637964859633494,0.2069,0.0221883352737925,1028459.12408759,110293.841762428,1,34877.9751859472
"M",0.05,"C","D08",0.168829159980346,0.0584226345078951,0.2657,0.0228961423242723,1320742.33576642,113812.211115543,2,35990.5812665049
"M",0.1,"C","D07",0.248146941274648,0.174507865749351,0.1302,0.0231746988473781,647198.540145985,115196.860693901,2,36428.4459093852
"P",0.0125,"C","E04",0.214297701858113,0.107258323710757,0.1689,0.0215223398149716,839568.613138686,106983.309591209,1,33831.0929931158
"P",0.0125,"C","E10",0.344417869968885,0.0574314088784612,0.122,0.015136416719657,606437.956204379,75240.1444239883,2,23793.0227859821
"P",0.05,"C","E02",0.0633195235959121,0.327025855496472,0.1553,0.0426824189671683,771965.693430657,212165.892822202,1,67092.7463121328
"P",0.05,"C","E08",0.218700969939529,0.0970233346756071,0.1244,0.0249452734333915,618367.883211679,123998.038015617,2,39211.6225521495
"P",0.1,"C","E01",0.453795054821701,0.135760494075191,0.167,0.0434229841852855,830124.087591241,215847.096570653,1,68256.8451497583
"P",0.1,"C","E07",0.602841511892225,0.134467106014106,0.1399,0.0286063318554166,695415.328467153,142196.437909042,2,44966.4618955284
"S",0.00625,"C","F11",0.141807645288707,0.10495348131112,0.1044,0.0168007936320481,518951.824817518,83513.4340395966,2,26409.2666787362
"S",0.0125,"C","F04",0.116519683732119,0.226349595884803,0.3239,0.0268553739707923,1610043.06569343,133492.771343866,1,42214.1208614673
"S",0.0125,"C","F10",0.171912956561216,0.169757414194058,0.1183,0.0213544166652033,588045.98540146,106148.596708054,2,33567.1336028102
"S",0.05,"C","F02",0.290389821491865,0.0749675336523856,0.2059,0.017425715352764,1023488.32116788,86619.7967535205,1,27391.5848201983
