"cond.SN","cond.SN.dil","strain","well","fit","fit.se","od600.m","od600.sd","cfu.m","cfu.sd","REP","cfu.se"
"C",0,"M","A06",3.13027632061448,0.45227994732088,0.0806,0.0225792431720424,195000,54627.2012226832,1,17274.6378064014
"C",0,"M","A12",5.58596588510708,0.383297393723788,0.04342,0.016718240205104,105048.387096774,40447.355334929,2,12790.5768188538
"C",0.00625,"M","A05",1.73994456173357,0.386252578627285,0.076,0.00776029781788187,183870.967741935,18774.9140755207,1,5937.14913526
"C",0.00625,"M","A11",3.87779462622114,0.492852430666386,0.0816,0.027560841786854,197419.35483871,66679.4559359372,2,21085.8953898396
"C",0.0125,"M","A04",1.33277473575921,0.178438039314328,0.0987,0.01354047430648,238790.322580645,32759.2120318064,1,10359.3724372901
"C",0.0125,"M","A10",3.48883725792951,0.694629336236848,0.0584,0.00620394139953698,141290.322580645,15009.5356440411,2,4746.43192566522
"C",0.025,"M","A03",3.39732340091364,0.435235548654067,0.0768,0.0198203038433936,185806.451612903,47952.3480082104,1,15163.8638858983
"C",0.025,"M","A09",3.72244546813551,0.445749791548823,0.05807,0.00685112318447777,140491.935483871,16575.2980269624,2,5241.56946612962
"C",0.05,"M","A02",5.26375553662851,0.361529002746421,0.06316,0.00149309521911141,152806.451612903,3612.32714301147,1,1142.3181425565
"C",0.1,"M","A01",4.9043532040396,0.348226286376094,0.1083,0.0484356388531328,262016.129032258,117182.997225321,1,37056.5174277206
"C",0.1,"M","A07",6.61832209479285,0.324418685541687,0.0445,0.0058925565098879,107661.290322581,14256.1851045675,2,4508.2015675399
"E",0,"M","B06",2.7151768532085,0.201480352906057,0.0714,0.00271620650499511,172741.935483871,6571.46735079463,1,2078.08043979437
"E",0,"M","B12",1.71689739637414,0.183474781205236,0.04052,0.00544340579661912,98032.2580645161,13169.5301531108,2,4164.57109980961
"E",0.00625,"M","B05",3.63202230684007,0.272782991366626,0.03857,9.48683298050541e-05,93314.5161290323,229.520152754163,1,72.5806451612924
"E",0.00625,"M","B11",3.64716076651524,0.448914534292033,0.03881,0.0018241893176605,93895.1612903226,4413.36125240443,2,1395.62736947313
"E",0.0125,"M","B04",3.06056459133989,0.323910266640582,0.03843,6.74948557710572e-05,92975.8064516129,163.294005897719,1,51.638098688976
"E",0.0125,"M","B10",3.5749915019821,0.317967769664042,0.0425,0.000707106781186545,102822.580645161,1710.74221254809,2,540.984188104785
"E",0.025,"M","B03",5.35198292363248,0.331179848060949,0.1368,0.00244040069569642,330967.741935484,5904.19523152359,1,1867.07046819197
"E",0.025,"M","B09",2.74441014329014,0.23377474167762,0.0611,0.00119721899973787,147822.580645161,2896.49758001097,2,915.952959000046
"E",0.05,"M","B02",5.07248774868901,0.196827602457092,0.07078,0.0147360329351785,171241.935483871,35651.6925851094,1,11274.0551009082
"E",0.1,"M","B01",7.34392210042143,0.868670039807125,0.0398,0.000421637021355784,96290.3225806452,1020.08956779625,1,322.58064516129
"E",0.1,"M","B07",4.90350175139907,0.348732801362513,0.04416,0.0142980340528961,106838.709677419,34592.01786991,2,10938.9565330162
"M",0,"M","D06",1.74556593817774,0.220746440931561,0.0768,0.000421637021355784,185806.451612903,1020.08956779625,1,322.58064516129
"M",0,"M","D12",1.86871028394713,0.232390577369132,0.059,0.000471404520791032,142741.935483871,1140.4948083654,2,360.656125403192
"M",0.00625,"M","D05",1.97560062584654,0.224717940133972,0.0929,0.000567646212197547,224758.064516129,1373.33761015536,1,434.287484446333
"M",0.00625,"M","D11",4.04873514641604,0.420613976263382,0.03815,5.27046276694672e-05,92298.3870967742,127.511195974517,2,40.3225806451567
"M",0.0125,"M","D04",4.03224620905759,0.398976033203582,0.03851,5.67646212197563e-05,93169.3548387097,137.333761015539,1,43.4287484446342
"M",0.0125,"M","D10",4.50782894231617,0.538013815421935,0.029,0,70161.2903225807,0,2,0
"M",0.025,"M","D03",5.75885239020663,0.459879192508157,0.07,0.000942809041582064,169354.838709677,2280.9896167308,1,721.312250806384
"M",0.025,"M","D09",4.67049882932378,0.391457452056376,0.0131,0.000316227766016838,31693.5483870968,765.067175847189,2,241.935483870968
"M",0.05,"M","D02",7.42274388472303,0.507918534246802,0.0816,0.0255351609441657,197419.35483871,61778.6151874976,1,19536.1134683563
"M",0.05,"M","D08",8.08034411188756,0.407527018224332,0.0273,0.000483045891539648,66048.3870967742,1168.65941501528,2,369.562556044827
"M",0.1,"M","D01",6.48931618169241,0.395231204359178,0.064,0,154838.709677419,0,1,0
"M",0.1,"M","D07",8.02324751859099,0.485798166263089,0.036,0.00149071198499986,87096.7741935484,3606.56125403192,2,1140.4948083654
"P",0,"M","E06",2.53275110456576,0.255524544667106,0.0579,0.000875595035770909,140080.64516129,2118.37508654252,1,669.889021203067
"P",0,"M","E12",2.19735743651134,0.363947624748701,0.0562,0.000421637021355784,135967.741935484,1020.08956779625,2,322.58064516129
"P",0.00625,"M","E05",1.83801478310889,0.224012621971591,0.0732,0.000918936583472677,177096.774193548,2223.23366969196,1,703.048216700105
"P",0.00625,"M","E11",6.51969972304725,0.277386522942431,0.0297,0.000948683298050515,71854.8387096774,2295.20152754157,2,725.806451612905
"P",0.0125,"M","E04",2.6545445714721,0.266489289902757,0.03858,0.0015533476394191,93338.7096774194,3758.09912762685,1,1188.41529159927
"P",0.0125,"M","E10",7.01664439536157,0.654049681421043,0.027,0,65322.5806451613,0,2,0
"P",0.025,"M","E03",7.55285312845374,0.236530239110989,0.04111,0.00327089861930598,99459.6774193548,7913.46440154672,1,2502.45716915489
"P",0.025,"M","E09",7.73697091477056,0.210643037401194,0.0253,0.000483045891539648,61209.6774193549,1168.65941501528,2,369.562556044827
"P",0.05,"M","E02",9.6591636629274,0.39994009853284,0.0361,0.000316227766016838,87338.7096774194,765.067175847189,1,241.935483870968
"P",0.05,"M","E08",8.80443066844988,0.355492380674615,0.0252,0.000421637021355784,60967.7419354839,1020.08956779625,2,322.58064516129
"P",0.1,"M","E01",9.91832660273866,0.714326239601807,0.04,0.000816496580927727,96774.1935483871,1975.3949538574,1,624.67473325926
"P",0.1,"M","E07",9.74856753692305,0.659981698102302,0.03837,0.000200277585143998,92830.6451612903,484.54254470322,2,153.225806451613
"S",0,"M","F06",2.32695347688894,0.177675379398743,0.06404,8.43274042711592e-05,154935.483870968,204.017913559256,1,64.5161290322599
"S",0,"M","F12",2.54202881076716,0.34232630585463,0.0569,0.000994428926011749,137661.290322581,2405.87643389939,2,760.804930004561
"S",0.00625,"M","F05",0.34542811089869,0.200713014058249,0.03837,6.74948557710572e-05,92830.6451612903,163.294005897719,1,51.638098688976
"S",0.00625,"M","F11",3.14288591538766,0.369393559743711,0.0625,0.00158113883008419,151209.677419355,3825.33587923595,2,1209.67741935484
"S",0.0125,"M","F04",1.00260638475046,0.438680767564038,0.03882,4.21637021355796e-05,93919.3548387097,102.008956779628,1,32.2580645161299
"S",0.0125,"M","F10",3.91769287610802,0.608869807031703,0.03847,4.83045891539662e-05,93072.5806451613,116.865941501531,2,36.9562556044836
"S",0.025,"M","F03",3.3074857399832,0.527177489392662,0.04568,0.00888241708845815,110516.129032258,21489.7187623988,1,6795.6457565635
"S",0.025,"M","F09",4.80570244684215,0.345833041364599,0.03874,0.00220010100778224,93725.8064516129,5322.825018828,2,1683.22506460251
"S",0.05,"M","F02",7.77671503995038,1.14501003079815,0.03817,4.83045891539595e-05,92346.7741935484,116.865941501515,1,36.9562556044785
"S",0.05,"M","F08",5.61988209060511,0.40893374869602,0.0324,0.000516397779494323,78387.0967741935,1249.34946651852,2,395.07899077148
"S",0.1,"M","F01",8.54508293782637,0.727440400271546,0.0395,0.00052704627669473,95564.5161290323,1275.11195974532,1,403.225806451615
"S",0.1,"M","F07",4.40864575091679,0.670306379587983,0.0307,0.000674948557710553,74274.1935483871,1632.94005897715,2,516.380986889748
"T",0,"M","G06",7.0032860690997,0.417787899506352,0.039,0,94354.8387096774,0,1,0
"T",0,"M","G12",2.31024478809599,0.344119268095389,0.0588,0.000918936583472682,142258.064516129,2223.23366969197,2,703.048216700108
"T",0.00625,"M","G05",0.739195319590019,0.202506416847438,0.0575,0.000527046276694723,139112.903225806,1275.1119597453,1,403.225806451608
"T",0.00625,"M","G11",6.68701002577381,0.591321195645814,0.0524,0.0175068240663145,126774.193548387,42355.2195152771,2,13393.8964464689
"T",0.0125,"M","G04",2.9536936128825,0.314486295427976,0.0501,0.00978774744259372,121209.677419355,23680.0341353074,1,7488.28429381072
"T",0.0125,"M","G10",7.84047190900732,0.754162340326855,0.0337,0.000674948557710553,81532.2580645161,1632.94005897715,2,516.380986889748
"T",0.025,"M","G03",3.9088658249041,0.419227698069052,0.0189,0.000567646212197547,45725.8064516129,1373.33761015536,1,434.287484446333
"T",0.025,"M","G09",7.62649101822065,0.362928870069324,0.04042,0.00836577684511261,97790.3225806452,20239.7826897886,2,6400.38126465812
"T",0.05,"M","G02",7.9817624545636,0.376097455306103,0.03832,4.21637021355796e-05,92709.6774193548,102.008956779628,1,32.2580645161299
"T",0.05,"M","G08",8.68838588245378,0.527912676281289,0.0243,0.00094868329805051,58790.3225806452,2295.20152754156,2,725.806451612901
