"cond.SN","cond.SN.dil","strain","well","fit","fit.se"
"C","0.1","C","A01",0,0
"C","0.05","C","A02",0,0
"C","0.025","C","A03",0,0
"C","0.0125","C","A04",0,0
"C","0.00625","C","A05",0,0
"C","0","C","A06",0,0
"C","0.1","C","A07",0,0
"C","0.05","C","A08",0,0
"C","0.025","C","A09",0,0
"C","0.0125","C","A10",0,0
"C","0.00625","C","A11",0,0
"C","0","C","A12",0,0
"E","0.1","C","B01",0,0
"E","0.05","C","B02",0,0
"E","0.025","C","B03",0.343788279419555,0.145140017940106
"E","0.0125","C","B04",0,0
"E","0.00625","C","B05",0.294289355526955,0.108547045795852
"E","0","C","B06",0,0
"E","0.1","C","B07",0,0
"E","0.05","C","B08",0,0
"E","0.025","C","B09",0,0
"E","0.0125","C","B10",0,0
"E","0.00625","C","B11",0.248767320452844,0.179773851713196
"E","0","C","B12",0,0
"M","0.1","C","D01",0,0
"M","0.05","C","D02",0.244082887232441,0.0637964859633494
"M","0.025","C","D03",0,0
"M","0.0125","C","D04",0,0
"M","0.00625","C","D05",0,0
"M","0","C","D06",0,0
"M","0.1","C","D07",0.248146941274648,0.174507865749351
"M","0.05","C","D08",0.168829159980346,0.0584226345078951
"M","0.025","C","D09",0,0
"M","0.0125","C","D10",0.107041241840271,0.119481182278631
"M","0.00625","C","D11",0,0
"M","0","C","D12",0,0
"P","0.1","C","E01",0.453795052841301,0.135760485236386
"P","0.05","C","E02",0.0633195235959121,0.327025855496472
"P","0.025","C","E03",0,0
"P","0.0125","C","E04",0.214297701858113,0.107258333471898
"P","0.00625","C","E05",0,0
"P","0","C","E06",0,0
"P","0.1","C","E07",0.602841509968382,0.134467104513461
"P","0.05","C","E08",0.218700969939529,0.0970233346756071
"P","0.025","C","E09",0,0
"P","0.0125","C","E10",0.344417869968885,0.0574314088784612
"P","0.00625","C","E11",0,0
"P","0","C","E12",0,0
"S","0.1","C","F01",0,0
"S","0.05","C","F02",0.290389820223373,0.074967532405529
"S","0.025","C","F03",0,0
"S","0.0125","C","F04",0.116519683732119,0.226349595884803
"S","0.00625","C","F05",0,0
"S","0","C","F06",0,0
"S","0.1","C","F07",0,0
"S","0.05","C","F08",0,0
"S","0.025","C","F09",0,0
"S","0.0125","C","F10",0.171912956561216,0.169757414194058
"S","0.00625","C","F11",0.141807645288707,0.10495348131112
"S","0","C","F12",0,0
"T","0.1","C","G01",0,0
"T","0.05","C","G02",0,0
"T","0.025","C","G03",0,0
"T","0.0125","C","G04",0,0
"T","0.00625","C","G05",0,0
"T","0","C","G06",0,0
"T","0.1","C","G07",0,0
"T","0.05","C","G08",0,0
"T","0.025","C","G09",0,0
"T","0.0125","C","G10",0,0
"T","0.00625","C","G11",0,0
"T","0","C","G12",0,0
"C","0.1","E","A01",6.32757088532881,0.840711508225294
"C","0.05","E","A02",4.14603963831028,0.722493227323973
"C","0.025","E","A03",5.15299836945901,0.996672219839878
"C","0.0125","E","A04",0.78774278767171,0.194088225911464
"C","0.00625","E","A05",3.12265582485843,1.17267091314885
"C","0","E","A06",4.67864473230846,0.406714913372318
"E","0.1","E","B01",3.40638672733294,0.435155780326445
"E","0.05","E","B02",3.15234524465994,0.315295973256222
"E","0.025","E","B03",1.18958609903819,0.0935308695821186
"E","0.0125","E","B04",2.16858942521677,0.48889853043877
"E","0.00625","E","B05",3.3054996060823,0.146468252956321
"E","0","E","B06",4.39833439228803,0.277283689781584
