"cond.SN","cond.SN.dil","strain","well","fit","fit.se","od600.m","od600.sd","cfu.m","cfu.sd","REP","cfu.se"
"C",0,"S","A06",1.34662303161144,0.302137908123007,0.0613,0.00141813649241218,53886.9767441861,1246.64091658559,1,394.222472077044
"C",0,"S","A12",1.12562101254784,0.0704216615601651,0.0713,0.000823272602348565,62677.6744186047,723.714055087809,2,228.858478875405
"C",0.00625,"S","A05",0.621250298473392,0.221261103455599,0.0616,0.00126491106406735,54150.6976744186,1111.94507492432,1,351.627906976743
"C",0.00625,"S","A11",1.16410715816588,0.13107441931065,0.0842,0.00187379590967403,74017.6744186047,1647.19733455066,2,520.889533293845
"C",0.0125,"S","A04",0.975597028135329,0.133052185758632,0.073,0.00115470053837925,64172.0930232558,1015.06233373804,1,320.990894165818
"C",0.0125,"S","A10",1.18624690910959,0.134213876668622,0.0891,0.00242441287279576,78325.1162790698,2131.22806027162,2,673.953488372093
"C",0.025,"S","A03",0.934628472439614,0.0941779822205093,0.091,0.00124721912892465,79995.3488372093,1096.39262961283,1,346.709791939792
"C",0.025,"S","A09",1.05405142919303,0.0496230875438546,0.0929,0.00251440295541948,81665.5813953489,2210.33562127573,2,698.969495663464
"C",0.05,"S","A02",1.12523064787481,0.0958514224716463,0.1214,0.00157762127549323,106719.069767442,1386.83916775917,1,438.557051845133
"C",0.05,"S","A08",1.09412028420492,0.0551908449365857,0.1215,0.00476678321535836,106806.976744186,4190.33501257084,2,1325.10027988742
"C",0.1,"S","A01",1.42270389020124,0.213252127778306,0.1471,0.00638487796803249,129311.162790698,5612.75319050298,1,1774.90840263664
"C",0.1,"S","A07",1.23936088407274,0.200784862995213,0.15,0.00646357314322178,131860.465116279,5681.93173985542,2,1796.78458075464
"E",0,"S","B06",0.961979632356424,0.175711046793007,0.0476,0.00126491106406735,41843.7209302326,1111.94507492432,1,351.627906976743
"E",0,"S","B12",1.29308477814405,0.0734805069778489,0.0672,0.00122927259430572,59073.488372093,1080.61637359898,2,341.720901744422
"E",0.00625,"S","B05",1.02313569059914,0.234331740497472,0.0662,0.00161932770686548,58194.4186046512,1423.5020306864,1,450.150867084393
"E",0.00625,"S","B11",1.285186376993,0.225866920140261,0.0902,0.00147572957474525,79292.0930232558,1297.26925407838,2,410.232558139536
"E",0.0125,"S","B04",0.768400157226741,0.0913588550200022,0.0749,0.000567646212197547,65842.3255813953,499.000623745751,1,157.797852488128
"E",0.0125,"S","B10",1.2312354178506,0.169945932093094,0.0918,0.00220100986922923,80698.6046511628,1934.84123388058,2,611.850520987318
"E",0.025,"S","B03",1.32519076421671,0.24540946043476,0.116,0.00533333333333334,101972.093023256,4688.37209302326,1,1482.59343323243
"E",0.025,"S","B09",1.30930390004943,0.135237319240909,0.1333,0.00541705126839727,117180,4761.96599873062,2,1505.86586962672
"E",0.05,"S","B02",1.30446383230322,0.159372046838405,0.1453,0.00724262076568666,127728.837209302,6366.76895216176,1,2013.34912248748
"E",0.05,"S","B08",1.37299910195407,0.213673233523066,0.1597,0.00661731734835867,140387.441860465,5817.08362251065,2,1839.52335867968
"E",0.1,"S","B01",1.65732084100454,0.15268336381666,0.1723,0.00847283240061367,151463.720930233,7448.21080798132,1,2355.3310646304
"E",0.1,"S","B07",1.23421614012599,0.12501115319882,0.1694,0.00471875689844971,148914.418604651,4148.11652933486,2,1311.74962324908
"M",0,"S","D06",1.02414568227077,0.321496438092003,0.0533,0.00290784379834192,46854.4186046512,2556.19757156569,1,808.340647553884
"M",0,"S","D12",1.49980091084815,0.165075875409119,0.0669,0.00260128173535023,58809.7674418605,2286.70813014508,2,723.120603528319
"M",0.00625,"S","D05",0.936764023083263,0.117358813950466,0.0963,0.00254077853335459,84654.4186046512,2233.52159443729,1,706.30154415927
"M",0.00625,"S","D11",1.12133962749007,0.147537972425171,0.0969,0.00445845015423271,85181.8604651163,3919.28874023248,2,1239.38792269866
"M",0.0125,"S","D04",0.928711733348879,0.167140041227257,0.1111,0.00450801754901445,97664.6511627907,3962.86193843596,1,1253.16697782476
"M",0.0125,"S","D10",1.30920641904241,0.269491783518982,0.1154,0.00488080139139284,101444.651162791,4290.56494406161,2,1356.79576721076
"M",0.025,"S","D03",1.30572018599633,0.17689540402783,0.1448,0.00345768066130399,127289.302325581,3039.54253482071,1,961.18774549951
"M",0.025,"S","D09",1.26523019971116,0.186633925651882,0.1548,0.0073605555345896,136080,6470.44184203458,2,2046.13336884847
"M",0.05,"S","D02",1.69997417870057,0.217560801441809,0.1456,0.00362705880232945,127992.558139535,3188.43773786171,1,1008.27254292779
"M",0.05,"S","D08",1.90442972081606,0.385250424947946,0.1256,0.00440201973845845,110411.162790698,3869.68246776115,2,1223.70104197463
"M",0.1,"S","D01",2.6852568674524,0.213465325750847,0.1095,0.00052704627669473,96258.1395348837,463.310447885135,1,146.511627906977
"M",0.1,"S","D07",2.68995807663064,0.592317114680906,0.0959,0.00223358207570012,84302.7906976744,1963.47447584801,2,620.905147128498
"P",0,"S","E06",0.848784389979191,0.259279413155428,0.0557,0.000483045891539648,48964.1860465116,424.631039539505,1,134.280125014985
"P",0,"S","E12",1.4993882710456,0.245035162460931,0.0756,0.00271620650499511,66457.6744186047,2387.73502067012,2,755.06811142668
"P",0.00625,"S","E05",1.29518745552051,0.350190988882176,0.1448,0.00285968141193696,127289.302325581,2513.85947374924,1,794.952165463986
"P",0.00625,"S","E11",1.53270163837002,0.249171169328097,0.1717,0.00391719854544603,150936.279069767,3443.49081436883,2,1088.92740752736
"P",0.0125,"S","E04",1.31814376260121,0.259817877727804,0.1356,0.00975477091251023,119201.860465116,8575.124197509,1,2711.6923682952
"P",0.0125,"S","E10",1.50120740172261,0.227402612740467,0.1623,0.00614726678198438,142673.023255814,5403.87638044209,2,1708.85575561836
"P",0.025,"S","E03",1.51244873720518,0.220631203431163,0.1718,0.0142345432740999,151024.186046512,12513.1566456041,1,3957.00757185813
"P",0.025,"S","E09",1.45681961914914,0.224157730269215,0.1894,0.0119368709840096,166495.813953488,10493.3423998968,2,3318.28622516913
"P",0.05,"S","E02",2.61651424761332,0.339221712389912,0.1643,0.0175818719771878,144431.162790698,15455.6921101791,1,4887.518988246
"P",0.05,"S","E08",1.75393868331954,0.233949331496153,0.1636,0.0323563491966157,143815.813953488,28443.4883635366,2,8994.6207829271
"P",0.1,"S","E01",4.83534226933644,0.245536877593177,0.1539,0.00703088424974649,135288.837209302,6180.63778233528,1,1954.48927846715
"P",0.1,"S","E07",3.65142795388722,0.357066513005802,0.3373,0.00377270901784558,296510.23255814,3316.47443894332,2,1048.76130287899
"S",0,"S","F06",0.79917319974448,0.139464346187037,0.0619,0.00207899548393503,54414.4186046512,1827.58207657544,1,577.932197287865
"S",0,"S","F12",1.40833070605701,0.165819221957978,0.071,0.00397212509593766,62413.9534883721,3491.7750843359,2,1104.1962343528
"S",0.00625,"S","F05",0.862712677491747,0.196682564223741,0.0656,0.000966091783079297,57666.9767441861,849.26207907901,1,268.56025002997
"S",0.00625,"S","F11",1.21402779363183,0.218054577466964,0.0842,0.00399444058105207,74017.6744186047,3511.39195264577,2,1110.39963279467
"S",0.0125,"S","F04",1.0520432525418,0.223084966239345,0.085,0.0019436506316151,74720.9302325582,1708.60450872211,1,540.30818679949
"S",0.0125,"S","F10",1.19235388120756,0.219197569408933,0.0824,0.0030623157540949,72435.3488372093,2691.98919778575,2,851.281730157247
"S",0.025,"S","F03",1.00701152028093,0.109427517807146,0.1176,0.0033065591380366,103378.604651163,2906.69617250659,1,919.178037121452
"S",0.025,"S","F09",0.990151525316406,0.120730873148898,0.1183,0.0043982319680122,103993.953488372,3866.35275327584,2,1222.64809380147
"S",0.05,"S","F02",1.48780943769226,0.244767157962174,0.1624,0.0109056560248952,142760.930232558,9586.83250560555,1,3031.62262642525
"S",0.05,"S","F08",1.07119509245041,0.21259171575336,0.1377,0.00469160005873382,121047.906976744,4124.24377256135,2,1304.20039470593
"S",0.1,"S","F01",1.60719285659837,0.156287033777606,0.1628,0.0130111063668271,143112.558139535,11437.670248048,1,3616.90891097747
"S",0.1,"S","F07",0.840646162313527,0.237396264166498,0.121,0.00471404520791032,106367.441860465,4143.97462462814,2,1310.43983797662
"T",0,"S","G06",1.09987267084053,0.195815470213666,0.0468,0.000421637021355784,41140.4651162791,370.648358308108,1,117.209302325581
"T",0,"S","G12",1.19152163772322,0.096802131544528,0.0595,0.00217306746840088,52304.6511627907,1910.27791408263,2,604.082917241655
"T",0.00625,"S","G05",1.1021506367752,0.210037408782029,0.0725,0.00117851130197757,63732.5581395349,1035.99365615703,1,327.609959494154
"T",0.00625,"S","G11",1.21429044867433,0.173154138044589,0.1053,0.00211081869319834,92566.0465116279,1855.5568977418,2,586.778612490024
"T",0.0125,"S","G04",1.15425158791564,0.226224141647564,0.0885,0.00236877840059198,77797.6744186047,2082.3214777297,1,658.487869031344
"T",0.0125,"S","G10",1.24461246887429,0.254617466616378,0.1126,0.00189736659610103,98983.2558139535,1667.91761238649,2,527.441860465118
"T",0.025,"S","G03",1.36322112220061,0.28106677153127,0.1219,0.00540473043833928,107158.604651163,4751.13512951686,1,1502.44084805124
"T",0.025,"S","G09",1.27495120271521,0.25314684553064,0.1462,0.00325917508308809,128520,2865.04228234255,2,906.005920488967
"T",0.05,"S","G02",0.893975386378088,0.187797356374003,0.0482,0.00257336787541584,42371.1627906977,2262.16989978416,1,715.360933759279
"T",0.05,"S","G08",1.45851880570768,0.240113945769694,0.1188,0.0056332347131407,104433.488372093,4952.00632922601,2,1565.96189879238
"T",0.1,"S","G01",2.6361739171754,0.364564583849947,0.1438,0.0106123617645754,126410.23255814,9329.00638839421,1,2950.09084935871
"T",0.1,"S","G07",1.87864620221869,0.411632343657521,0.1644,0.0161603080278674,144519.069767442,14206.0382198462,2,4492.34373021178
