"cond.SN","cond.SN.dil","strain","well","fit","fit.se","od600.m","od600.sd","cfu.m","cfu.sd","REP","cfu.se"
"C",0,"T","A06",5.0667376181491,0.54735469937323,0.0972,0.00667998669326685,371169.451073986,25508.3024086562,1,8066.43348557128
"C",0,"T","A12",5.40537371687675,0.935428190855947,0.0936,0.00452646538580479,357422.434367542,17284.8320221662,2,5465.94381634592
"C",0.00625,"T","A05",3.84853714553675,1.17854444741467,0.0908,0.00528730134903956,346730.31026253,20190.1722159029,1,6384.6930553302
"C",0.00625,"T","A11",5.45409735722346,0.48428940662483,0.1272,0.00315524255098646,485727.923627685,12048.6589059149,2,3810.12048931635
"C",0.0125,"T","A04",5.4260530778494,0.769150168449607,0.084,0.00489897948556636,320763.723150358,18707.3202312797,1,5915.77408489918
"C",0.0125,"T","A10",5.51854184532893,0.260074019274527,0.0822,0.00960092588127717,313890.214797136,36662.2468020131,2,11593.6204033586
"C",0.025,"T","A03",5.34378022086545,0.829017718296899,0.0853,0.000948683298050515,325727.923627685,3622.65698539576,1,1145.58472553699
"C",0.025,"T","A09",4.50243638445996,0.468036153102568,0.0973,0.0120189664928211,371551.312649165,45895.8147697224,2,14513.5309741519
"C",0.05,"T","A02",5.70696763070665,0.609635058539848,0.0785,0.00108012344973464,299761.336515513,4124.57641903444,1,1304.30558675699
"C",0.05,"T","A08",4.15996288493019,0.52784318549547,0.0946,0.0113450919392974,361241.050119332,43322.5467849066,2,13699.792187951
"C",0.1,"T","A01",5.55758971288188,0.589688442022968,0.107,0.00240370085030933,408591.885441528,9178.80992958216,1,2902.59455872494
"C",0.1,"T","A07",3.91045302019771,0.405979913815421,0.1156,0.0165341397652789,441431.980906921,63137.5265499911,2,19965.8389727325
"E",0,"T","B06",5.68301953314204,0.996331950829937,0.1053,0.00211081869319834,402100.238663484,8060.40551101993,1,2548.92402793964
"E",0,"T","B12",5.55526323518159,1.48042522430856,0.0993,0.00783226943129795,379188.544152745,29908.4274226175,2,9457.87518893107
"E",0.00625,"T","B05",5.77321560856734,0.980474860655678,0.0937,0.00397352348538282,357804.295942721,15173.3593713902,1,4798.23753698537
"E",0.00625,"T","B11",7.00131096538804,1.51125971884907,0.1205,0.0067700320038633,460143.198090692,25852.1508500747,2,8175.16791004942
"E",0.0125,"T","B04",5.41045280147978,1.1876307354617,0.1149,0.00653962282296668,438758.949880668,24972.3067225458,1,7896.93676715792
"E",0.0125,"T","B10",6.21449815098838,0.924260069046753,0.0913,0.005056349144063,348639.618138425,19308.2544880687,2,6105.80618244655
"E",0.025,"T","B03",6.87721664736281,1.17209446002118,0.0981,0.00338132124077753,374606.205250597,12911.9665518951,1,4083.12233758992
"E",0.025,"T","B09",6.74949482769317,0.949489048299399,0.1062,0.00154919333848297,405536.992840095,5915.77408489916,2,1870.73202312797
