"well","plate","replc","comp","c.len","abs.m","abs.sd","C","E","M","P","S","T","sd.C","sd.E","sd.M","sd.P","sd.S","sd.T","Vj.fit","se","n.pred","n.pred.se"
"A01","A","1","C",1,0.059525,0.00270185121722126,2525000,NA,NA,NA,NA,NA,1013039.97987394,NA,NA,NA,NA,NA,0,0,0,0
"A02","A","1","C-E",2,0.373925,0.0429243520626695,15125000,1750000,NA,NA,NA,NA,7988272.65338241,661437.83,NA,NA,NA,NA,0.497554983536475,0.119851363359158,0,0
"A02","B","1","C-E-M-S-T",5,0.201125,0.0390089733266591,6e+05,130000,6e+05,NA,2200000,3e+06,346410.16,202977.831958666,346410.16,NA,663324.96,774596.67,11.4200196172765,1.37613338967917,8.28731875133827,2.13041442131323
"A06","A","1","C-M-T",3,0.084925,0.00972111104761179,640000,NA,760000,NA,NA,180000,113137.08,NA,123288.28,NA,NA,60000,8.6104250912212,0.425151289627449,0.524321492501685,0.164803954886925
"A07","A","1","E-M-T",3,0.121925,0.0172626765016321,NA,2e+05,2e+05,NA,NA,8600000,NA,2e+05,2e+05,NA,NA,1311487.7,11.0952246070071,0.648320257144992,23.5457448367452,3.63923120261082
"A11","A","1","E-M-S-T",4,0.201525,0.0184743064822472,NA,0,6e+06,NA,1e+07,2e+07,NA,0,1095445.12,NA,1414213.56,2e+06,12.0912562032296,0.701662249539412,55.2227304355409,5.64920150130693
"B01","A","1","E",1,0.233725,0.0170205757834452,NA,20750000,NA,NA,NA,NA,NA,7053367.99105938,NA,NA,NA,NA,0,0,0,0
"B02","B","1","C-E-P-S-T",5,0.331325,0.0230499457700013,4e+05,4e+05,NA,9200000,46400000,6e+05,282842.71,282842.71,NA,1356466,3046309.24,346410.16,32.1527187532521,0.438920478443325,4172.8768295043,1695.82888225615
"B03","A","1","E-M",2,0.105925,0.00799999999999999,NA,0,18125000,NA,NA,NA,NA,0,7352720.58393427,NA,NA,NA,1.52770306248583,0.0926138611235951,0.755480017510591,0.3154708663658
"B05","A","1","C-E-M",3,0.266725,0.0299115362360411,6166666.67,666666.67,2.5e+07,NA,NA,NA,1013793.76,333333.33,2041241.45,NA,NA,NA,0.528316968781174,0.0911117039040756,1.04204140346288,0.133734918997164
"B06","A","1","C-P-T",3,0.105925,0.00570087712549569,1166666.67,NA,NA,1666666.67,NA,5166666.67,440958.55,NA,NA,527046.28,NA,927960.73,9.43112037315223,0.562484222580545,769.602049928846,372.898147826996
"B07","A","1","E-P-S",3,0.091125,0.00216794833886788,NA,6e+05,NA,16200000,9800000,NA,NA,346410.16,NA,1800000,1400000,NA,30.5512849129792,1.23232357733621,7343.31418405306,2900.08396709692
"B09","A","1","C-E-M-P",4,0.308925,0.0530801281083609,27400000,1e+06,5800000,12800000,NA,NA,2340939.98,447213.6,1077032.96,1600000,NA,NA,11.7094348051329,1.4643783659362,5802.18497730392,2315.3867780325
"B11","A","1","E-P-S-T",4,0.175125,0.0177679486716953,NA,2e+05,NA,1.6e+07,2e+07,2e+06,NA,2e+05,NA,1788854.38,2e+06,632455.53,28.5238606242772,1.93114373887294,7258.37180792151,2865.69756079773
"C02","A","1","C-M",2,0.085125,0.00148323969741913,5e+05,NA,377500000,NA,NA,NA,353553.39,NA,30720514.32,NA,NA,NA,0,0,15.7348251922895,2.01668898762125
"C03","A","1","E-P",2,0.186525,0.0169056203672033,NA,5e+05,NA,7750000,NA,NA,NA,353553.39,NA,5656854.24520773,NA,NA,16.5688603364037,1.27040061643595,3512.89531122359,2889.15286987815
"C04","B","1","C-E-M-P-S-T",6,0.300925,0.0288357417105924,0,0,0,11400000,114200000,2400000,0,0,0,1509966.89,4779121.26,692820.32,24.5051141229292,0.47265177002643,5176.6020378403,2074.52817411606
"C05","A","1","C-E-P",3,0.254925,0.0300582767303783,9666666.67,166666.67,NA,10333333.33,NA,NA,1269295.52,166666.67,NA,1312334.65,NA,NA,10.0102287513234,0.715198481518576,4683.86041345386,1872.14800526896
"C07","A","1","E-P-T",3,0.160925,0.0139283882771841,NA,4e+05,NA,3600000,NA,10400000,NA,282842.71,NA,848528.14,NA,1442220.51,16.7659524353178,1.12702572555783,1660.26037450903,728.290002318202
"C09","A","1","C-E-M-T",4,0.125725,0.0144982757595515,2e+06,2e+05,2e+05,NA,NA,1.2e+07,632455.53,2e+05,2e+05,NA,NA,1549193.34,9.53037483024748,0.699214046588479,32.851231920322,4.32187062433043
"D01","A","1","M",1,0.046525,0.00114017542509914,NA,NA,62500000,NA,NA,NA,NA,NA,3952847.08,NA,NA,NA,2.60510350865721,0.257948961344854,2.60510350865721,0.306078296989424
"D02","A","1","C-P",2,0.111725,0.00370135110466435,4125000,NA,NA,20375000,NA,NA,3648629.88405295,NA,NA,9127568.1328305,NA,NA,2.86772662988356,0.256380031742829,9235.5150924104,5419.26932549369
"D03","A","1","E-S",2,0.143325,0.0137222447143315,NA,250000,NA,NA,1.6e+08,NA,NA,250000,NA,NA,6324555.32,NA,1.38529816487041,0.0738498512300494,3.75169893684337,0.204524708978229
"D05","A","1","C-E-T",3,0.307125,0.0475468190313506,166666.67,166666.67,NA,NA,666666.67,NA,166666.67,166666.67,NA,NA,333333.33,NA,10.12096222362,0.539914412568263,NA,0
"D07","A","1","E-S-T",3,0.167525,0.0211494680784175,NA,2e+05,NA,NA,2600000,6400000,NA,2e+05,NA,NA,721110.26,1131370.85,12.030689941714,0.618418419031017,17.577176088574,3.12853151409832
"D09","A","1","C-E-P-T",4,0.163725,0.0161462069849237,2400000,4e+05,NA,7600000,NA,11400000,692820.32,282842.71,NA,1232882.8,NA,1509966.89,15.2965811598122,1.08113155888112,3476.10453988051,1420.16080453224
"E01","A","1","P",1,-0.008075,0,NA,NA,NA,750,NA,NA,NA,NA,NA,433.0127,NA,NA,0.339957610763573,0.128840164092509,0.339957610763573,0.234783971454728
"E02","A","1","C-S",2,0.399125,0.0373121963974248,3500000,NA,NA,NA,767500000,NA,2715695.12210491,NA,NA,NA,43803538.67,NA,1.95347598657458,0.069093430194144,17.9964308376705,1.22939975583185
"E03","A","1","E-T",2,0.152525,0.0142583308981101,NA,5e+05,NA,NA,NA,2875000,NA,353553.39,NA,NA,NA,2657536.4535683,11.278371350314,0.624101148595879,7.86861040155383,7.27619782612875
"E03","B","1","E-M-P-S-T",5,0.194725,0.0215336945274145,NA,20000,0,2800000,10200000,0,NA,20000,0,748331.48,1428285.69,0,37.2815582284598,0.988147816107647,1269.41425099123,588.57597991468
"E04","A","1","S-T",2,0.161525,0.0355921339624361,NA,NA,NA,NA,250000,6400000,NA,NA,NA,NA,250000,1705872.21348693,11.4287393863939,0.588024485271409,17.5220730104391,4.69012122079304
"F01","A","1","S",1,0.227725,0.00903880523078134,NA,NA,NA,NA,63750000,NA,NA,NA,NA,NA,3992179.86,NA,1.49481754514853,0.0561185978486826,1.49481754514853,0.109141933843343
"F02","A","1","C-T",2,0.121125,0.00589067059000925,5e+05,NA,NA,NA,NA,1e+07,353553.39,NA,NA,NA,NA,1581138.83,8.58407879511591,1.27108977684671,27.3690796575785,4.38330907274975
"F03","A","1","M-P",2,0.052325,0.00456070170039655,NA,NA,2500000,18375000,NA,NA,NA,NA,790569.42,6552671.21271904,NA,NA,22.5361088984472,3.1256350813194,8329.06566784788,4334.27685655181
"F04","A","1","M-P-S",3,0.220525,0.0327612576071188,NA,NA,NA,4.9e+07,185500000,NA,NA,NA,NA,3500000,6809919.24,NA,24.1573193175668,1.64381495018283,NA,8565.75483157802
"G01","A","1","T",1,0.090125,0.00148323969741913,NA,NA,NA,NA,NA,2912500,NA,NA,NA,NA,NA,994673.316679809,7.97124445026975,0.203194710922311,7.97124445026975,2.7299020197589
"G01","B","1","C-E-M-P-S",5,0.095125,0.00496990945591566,5e+05,1250000,5e+05,11500000,132750000,NA,353553.39,559016.99,353553.39,1695582.5,5760859.31,NA,31.0824344495423,1.08220741968552,5215.81694358118,2119.78577597294
"G02","A","1","P-S",2,0.074125,0.00130384048104053,NA,NA,NA,1.1e+08,59625000,NA,NA,NA,NA,20916500.6659236,15962847.4899438,NA,33.4144028645026,1.02188921225275,49861.8476727143,21141.631324423
"G02","B","1","C-M-P-S-T",5,0.329325,0.0207797978815964,2e+05,NA,4e+05,7400000,64400000,2e+05,2e+05,NA,282842.71,1216552.51,3588871.69,2e+05,23.8024857246524,2.37077306567493,3356.32253927827,1385.67265799641
"G03","A","1","M-S",2,0.263525,0.0142407864951343,NA,NA,250000,NA,542500000,NA,NA,NA,250000,NA,36827299.66,NA,1.69100520110189,0.108593629121078,12.7310246217692,0.986841997413698
"G04","A","1","M-P-T",3,0.090525,0.00944986772394196,NA,NA,1e+06,7250000,NA,8500000,NA,NA,5e+05,1346291.2,NA,1457737.97,18.4011996486109,1.24066879194219,3309.56230341295,1386.92834732179
"G06","A","1","E-M-P",3,0.157325,0.0191650723974631,NA,4e+05,1600000,3800000,NA,10800000,NA,282842.71,565685.42,871779.79,NA,1469693.85,21.9501772909361,2.48845717756315,1722.51858518526,763.075685475113
"G08","A","1","P-S-T",3,0.208525,0.0246840029168691,NA,NA,NA,7400000,18200000,1200000,NA,NA,NA,1216552.51,1907878.4,489897.95,33.1989726140343,0.563990636843554,3357.95947151356,1385.67319808352
"G10","A","1","E-M-P-S",4,0.128925,0.0106066017177982,NA,6e+05,0,22400000,4.5e+07,NA,NA,346410.16,0,2116601.05,3e+06,NA,35.8329307179411,0.646652659411066,10154.455806798,3965.82477252281
"G11","A","1","M-P-S-T",4,0.217325,0.0253239017530869,NA,NA,0,1.3e+07,5.96e+08,0,NA,NA,0,7211102.54822558,48826222.46,0,36.0125513575433,0.52486187609572,5906.57366510834,3958.69029968455
"H01","B","1","C-E-M-P-T",5,0.239525,0.0289447750034441,4200000,520000,2e+06,9600000,NA,2200000,916515.14,405955.662210691,632455.53,1385640.65,NA,663324.96,13.320361201404,2.30388480929805,4357.56197861068,1764.70833864879
"H02","A","1","P-T",2,0.137125,0.00109544511501033,NA,NA,NA,8250000,NA,23875000,NA,NA,NA,5159941.8605333,NA,8591420.14268779,15.8201338027754,1.71142493086051,3804.87739608177,2734.86728454672
"H03","A","1","M-T",2,0.105125,0.00491934955049954,NA,NA,250000,NA,NA,4125000,NA,NA,250000,NA,NA,3648629.88405295,11.2245556526682,0.693467124030279,11.3001657727858,9.99011569495877
"H04","A","1","M-S-T",3,0.270725,0.0133491572767722,NA,NA,5e+05,NA,1.15e+08,7500000,NA,NA,353553.39,NA,5361902.65,1369306.39,13.3055673460416,0.83280066165817,23.2441841821093,3.78748764719
"H05","A","1","C-M-P",3,0.136925,0.0106536378763313,666666.67,NA,2e+06,5e+05,NA,NA,333333.33,NA,577350.27,288675.13,NA,NA,14.9249923059404,0.886576618358238,226.721770487992,156.522648440992
"H06","A","1","E-M-S",3,0.271125,0.0197154761545341,NA,2e+05,0,NA,3.8e+07,NA,NA,2e+05,0,NA,2756809.75,NA,2.68580584232527,0.172637139894064,0.8910284975003,0.0727843628248453
"H09","A","1","C-M-P-T",4,0.093925,0.00678232998312526,1e+06,NA,4e+05,4400000,NA,0,447213.6,NA,282842.71,938083.15,NA,0,15.8153021210871,0.78117752623907,1994.43465580875,867.255726928399
"H10","A","1","E-M-P-T",4,0.168925,0.0281513765205185,NA,2e+05,9e+06,13800000,NA,8400000,NA,2e+05,1341640.79,1661324.77,NA,1296148.14,20.4416359852523,0.916646967221031,6278.58519986736,2487.38946662618
