"well","strain","f.j","starch","cond.SN","cond.SN.dil","x","cfu.m","cfu.sd","od600.m","od600.sd"
"A01","C",-0.0668498168498168,TRUE,"C","0.1",0.5,616876.642335766,92831.2140172339,0.1241,0.0186752956246124
"A01","C",1,FALSE,"C","0.1",0.5,616876.642335766,92831.2140172339,0.1241,0.0186752956246124
"A01","C",-0.0795558608058609,TRUE,"C","0.1",0.25,616876.642335766,92831.2140172339,0.1241,0.0186752956246124
"A01","C",0.011790293040293,TRUE,"C","0.1",0.025,616876.642335766,92831.2140172339,0.1241,0.0186752956246124
"A01","C",-0.0240384615384615,TRUE,"C","0.1",0.05,616876.642335766,92831.2140172339,0.1241,0.0186752956246124
"A01","C",-0.104681776556777,TRUE,"C","0.1",0.125,616876.642335766,92831.2140172339,0.1241,0.0186752956246124
"A01","C",0,TRUE,"C","0.1",0,NA,NA,NA,NA
"A02","C",-0.119853897108896,TRUE,"C","0.05",0.5,510501.459854014,18308.9366506243,0.1027,0.00368329562574968
"A02","C",1,FALSE,"C","0.05",0.5,510501.459854014,18308.9366506243,0.1027,0.00368329562574968
"A02","C",-0.114529808704265,TRUE,"C","0.05",0.25,510501.459854014,18308.9366506243,0.1027,0.00368329562574968
"A02","C",-0.118182380981861,TRUE,"C","0.05",0.025,510501.459854014,18308.9366506243,0.1027,0.00368329562574968
"A02","C",-0.0866092985823068,TRUE,"C","0.05",0.05,510501.459854014,18308.9366506243,0.1027,0.00368329562574968
"A02","C",-0.196124558905467,TRUE,"C","0.05",0.125,510501.459854014,18308.9366506243,0.1027,0.00368329562574968
"A02","C",0,TRUE,"C","0.05",0,NA,NA,NA,NA
"A03","C",-0.240044392218305,TRUE,"C","0.025",0.5,393190.510948905,54726.5109532744,0.0791,0.0110095917776778
"A03","C",1,FALSE,"C","0.025",0.5,393190.510948905,54726.5109532744,0.0791,0.0110095917776778
"A03","C",-0.168559864212038,TRUE,"C","0.025",0.25,393190.510948905,54726.5109532744,0.0791,0.0110095917776778
"A03","C",-0.143360752056404,TRUE,"C","0.025",0.025,393190.510948905,54726.5109532744,0.0791,0.0110095917776778
"A03","C",-0.178482830656743,TRUE,"C","0.025",0.05,393190.510948905,54726.5109532744,0.0791,0.0110095917776778
"A03","C",-0.249053401227314,TRUE,"C","0.025",0.125,393190.510948905,54726.5109532744,0.0791,0.0110095917776778
"A03","C",0,TRUE,"C","0.025",0,NA,NA,NA,NA
"A04","C",-0.274243117766298,TRUE,"C","0.0125",0.5,354915.328467153,20588.7005939332,0.0714,0.00414192655120242
"A04","C",1,FALSE,"C","0.0125",0.5,354915.328467153,20588.7005939332,0.0714,0.00414192655120242
