"plate","well","t","S1","S2","abs.m","f.j","x","xt"
"T0_0","A01",0,"C","C",1.302,0,0,0
"T0_100","A01",0,"C","C",1.526,0,0.5,0
"T0_50","A01",0,"C","C",1.526,0,0.25,0
"T0_25","A01",0,"C","C",1.411,0,0.125,0
"T0_10","A01",0,"C","C",1.249,0.041013206768469,0.05,0
"T0_0","B01",0,"E","C",1.261,0,0,0
"T0_100","B01",0,"E","C",1.574,0,0.5,0
"T0_50","B01",0,"E","C",1.383,0,0.25,0
"T0_25","B01",0,"E","C",1.294,0,0.125,0
"T0_10","B01",0,"E","C",1.163,0.0783206350897756,0.05,0
"T0_0","D01",0,"M","C",1.215,0,0,0
"T0_100","D01",0,"M","C",1.408,0,0.5,0
"T0_50","D01",0,"M","C",1.282,0,0.25,0
"T0_25","D01",0,"M","C",1.218,0,0.125,0
"T0_10","D01",0,"M","C",1.093,0.101222412744068,0.05,0
"T0_0","E01",0,"P","C",1.176,0,0,0
"T0_100","E01",0,"P","C",1.49,0,0.5,0
"T0_50","E01",0,"P","C",1.36,0,0.25,0
"T0_25","E01",0,"P","C",1.278,0,0.125,0
"T0_10","E01",0,"P","C",1.189,0,0.05,0
"T0_0","F01",0,"S","C",1.227,0,0,0
"T0_100","F01",0,"S","C",1.391,0,0.5,0
"T0_50","F01",0,"S","C",1.298,0,0.25,0
"T0_25","F01",0,"S","C",1.217,0.00821512678679004,0.125,0
"T0_10","F01",0,"S","C",1.183,0.0361465578618761,0.05,0
"T0_0","G01",0,"T","C",1.207,0,0,0
"T0_100","G01",0,"T","C",1.356,0,0.5,0
"T0_50","G01",0,"T","C",1.285,0,0.25,0
"T0_25","G01",0,"T","C",1.216,0,0.125,0
"T0_10","G01",0,"T","C",1.195,0.010022829778941,0.05,0
"T0_0","A02",0,"E","C",1.453,0,0,0
"T0_100","A02",0,"E","C",1.479,0,0.5,0
"T0_50","A02",0,"E","C",1.587,0,0.25,0
"T0_25","A02",0,"E","C",1.433,0.0138574530001386,0.125,0
"T0_10","A02",0,"E","C",1.376,0.0533511940505337,0.05,0
"T0_0","B02",0,"E","E",1.295,0,0,0
"T0_100","B02",0,"E","E",1.513,0,0.5,0
"T0_50","B02",0,"E","E",1.48,0,0.25,0
"T0_25","B02",0,"E","E",1.343,0,0.125,0
"T0_10","B02",0,"E","E",1.33,0,0.05,0
"T0_0","D02",0,"M","E",1.267,0,0,0
"T0_100","D02",0,"M","E",1.263,0.00318150485179491,0.5,0
"T0_50","D02",0,"M","E",1.353,0,0.25,0
"T0_25","D02",0,"M","E",1.271,0,0.125,0
"T0_10","D02",0,"M","E",1.272,0,0.05,0
"T0_0","E02",0,"P","E",1.296,0,0,0
"T0_100","E02",0,"P","E",1.408,0,0.5,0
"T0_50","E02",0,"P","E",1.424,0,0.25,0
"T0_25","E02",0,"P","E",1.319,0,0.125,0
"T0_10","E02",0,"P","E",1.201,0.0738571576655955,0.05,0
"T0_0","F02",0,"S","E",1.335,0,0,0
"T0_100","F02",0,"S","E",1.338,0,0.5,0
"T0_50","F02",0,"S","E",1.365,0,0.25,0
"T0_25","F02",0,"S","E",1.264,0.0535741234468534,0.125,0
"T0_10","F02",0,"S","E",1.313,0.0166004326173349,0.05,0
"T0_0","G02",0,"T","E",1.273,0,0,0
"T0_100","G02",0,"T","E",1.322,0,0.5,0
"T0_50","G02",0,"T","E",1.397,0,0.25,0
"T0_25","G02",0,"T","E",1.33,0,0.125,0
"T0_10","G02",0,"T","E",1.403,0,0.05,0
"T0_0","A04",0,"M","C",1.366,0,0,0
"T0_100","A04",0,"M","C",1.281,0.0626720408965789,0.5,0
"T0_50","A04",0,"M","C",1.43,0,0.25,0
"T0_25","A04",0,"M","C",1.396,0,0.125,0
"T0_10","A04",0,"M","C",1.335,0.0228568619740463,0.05,0
"T0_0","B04",0,"M","E",1.261,0,0,0
"T0_100","B04",0,"M","E",1.351,0,0.5,0
"T0_50","B04",0,"M","E",1.477,0,0.25,0
"T0_25","B04",0,"M","E",1.279,0,0.125,0
"T0_10","B04",0,"M","E",1.276,0,0.05,0
"T0_0","D04",0,"M","M",1.348,0,0,0
"T0_100","D04",0,"M","M",1.327,0.0156919398226562,0.5,0
"T0_50","D04",0,"M","M",1.294,0.0403507024011157,0.25,0
"T0_25","D04",0,"M","M",1.258,0.0672511706685264,0.125,0
"T0_10","D04",0,"M","M",1.283,0.0485702899272691,0.05,0
"T0_0","E04",0,"P","M",1.327,0,0,0
"T0_100","E04",0,"P","M",1.308,0.0144238068728174,0.5,0
"T0_50","E04",0,"P","M",1.338,0,0.25,0
"T0_25","E04",0,"P","M",1.249,0.0592135229515665,0.125,0
"T0_10","E04",0,"P","M",1.279,0.0364390910471178,0.05,0
"T0_0","F04",0,"S","M",1.335,0,0,0
"T0_100","F04",0,"S","M",1.303,0.0241460838070325,0.5,0
"T0_50","F04",0,"S","M",1.292,0.0324463001156999,0.25,0
"T0_25","F04",0,"S","M",1.217,0.0890386840384326,0.125,0
"T0_10","F04",0,"S","M",1.355,0,0.05,0
"T0_0","G04",0,"T","M",1.309,0,0,0
"T0_100","G04",0,"T","M",1.308,0.000769664939196391,0.5,0
"T0_50","G04",0,"T","M",1.343,0,0.25,0
"T0_25","G04",0,"T","M",1.285,0.0184719585407153,0.125,0
"T0_10","G04",0,"T","M",1.358,0,0.05,0
"T0_0","A05",0,"P","C",1.412,0,0,0
"T0_100","A05",0,"P","C",1.42,0,0.5,0
"T0_50","A05",0,"P","C",1.58,0,0.25,0
"T0_25","A05",0,"P","C",1.314,0.0698868498621279,0.125,0
"T0_10","A05",0,"P","C",1.203,0.149044404297803,0.05,0
"T0_0","B05",0,"P","E",1.252,0,0,0
"T0_100","B05",0,"P","E",1.448,0,0.5,0
"T0_50","B05",0,"P","E",1.339,0,0.25,0
"T0_25","B05",0,"P","E",1.239,0.0104647418697007,0.125,0
"T0_10","B05",0,"P","E",1.23,0.0177095631641087,0.05,0
"T0_0","D05",0,"P","M",1.304,0,0,0
"T0_100","D05",0,"P","M",1.359,0,0.5,0
"T0_50","D05",0,"P","M",1.253,0.0394045534150614,0.25,0
"T0_25","D05",0,"P","M",1.237,0.0517667662511591,0.125,0
"T0_10","D05",0,"P","M",1.227,0.0594931492737202,0.05,0
"T0_0","E05",0,"P","P",1.225,0,0,0
"T0_100","E05",0,"P","P",1.35,0,0.5,0
"T0_50","E05",0,"P","P",1.306,0,0.25,0
"T0_25","E05",0,"P","P",1.212,0.0106972406604859,0.125,0
"T0_10","E05",0,"P","P",1.267,0,0.05,0
"T0_0","F05",0,"S","P",1.35,0,0,0
"T0_100","F05",0,"S","P",1.312,0.0283525666534021,0.5,0
"T0_50","F05",0,"S","P",1.324,0.0193991245523277,0.25,0
"T0_25","F05",0,"S","P",1.178,0.1283326701154,0.125,0
"T0_10","F05",0,"S","P",1.254,0.0716275368085952,0.05,0
"T0_0","G05",0,"T","P",1.332,0,0,0
"T0_100","G05",0,"T","P",1.368,0,0.5,0
"T0_50","G05",0,"T","P",1.287,0.0340324694968237,0.25,0
"T0_25","G05",0,"T","P",1.249,0.0627709992941415,0.125,0
"T0_10","G05",0,"T","P",1.316,0.0121004335988706,0.05,0
"T0_0","A06",0,"S","C",1.305,0,0,0
"T0_100","A06",0,"S","C",1.454,0,0.5,0
"T0_50","A06",0,"S","C",1.493,0,0.25,0
"T0_25","A06",0,"S","C",1.41,0,0.125,0
"T0_0","B06",0,"S","E",1.316,0,0,0
"T0_100","B06",0,"S","E",1.385,0,0.5,0
"T0_50","B06",0,"S","E",1.276,0.0306216188629173,0.25,0
"T0_25","B06",0,"S","E",1.241,0.0574155353679699,0.125,0
"T0_0","D06",0,"S","M",1.321,0,0,0
"T0_100","D06",0,"S","M",1.365,0,0.5,0
"T0_50","D06",0,"S","M",1.263,0.0442320402664091,0.25,0
"T0_25","D06",0,"S","M",0.815,0.385886420255224,0.125,0
"T0_0","E06",0,"S","P",1.304,0,0,0
"T0_100","E06",0,"S","P",1.298,0.00463582981353661,0.5,0
"T0_50","E06",0,"S","P",1.264,0.0309055320902442,0.25,0
"T0_25","E06",0,"S","P",1.258,0.0355413619037808,0.125,0
"T0_0","F06",0,"S","S",1.369,0,0,0
"T0_100","F06",0,"S","S",1.328,0.0301633233606355,0.5,0
"T0_50","F06",0,"S","S",1.349,0.0147138162734808,0.25,0
"T0_25","F06",0,"S","S",0.805,0.414929618912159,0.125,0
"T0_0","G06",0,"T","S",1.272,0,0,0
"T0_100","G06",0,"T","S",1.329,0,0.5,0
"T0_50","G06",0,"T","S",1.338,0,0.25,0
"T0_25","G06",0,"T","S",1.267,0.00396112812929128,0.125,0
"T0_0","A07",0,"T","C",1.369,0,0,0
"T0_100","A07",0,"T","C",1.36,0.00662121732306642,0.5,0
"T0_50","A07",0,"T","C",1.372,0,0.25,0
"T0_25","A07",0,"T","C",1.384,0,0.125,0
"T0_10","A07",0,"T","C",1.388,0,0.05,0
"T0_0","B07",0,"T","E",0.956,0,0,0
"T0_100","B07",0,"T","E",1.336,0,0.5,0
"T0_50","B07",0,"T","E",1.067,0,0.25,0
"T0_25","B07",0,"T","E",0.722,0.247287586304072,0.125,0
"T0_10","B07",0,"T","E",1.053,0,0.05,0
"T0_0","D07",0,"T","M",1.246,0,0,0
"T0_100","D07",0,"T","M",1.321,0,0.5,0
"T0_50","D07",0,"T","M",0.735,0.413341242450388,0.25,0
"T0_25","D07",0,"T","M",0.995,0.203030629853322,0.125,0
"T0_10","D07",0,"T","M",0.86,0.312230371009491,0.05,0
"T0_0","E07",0,"T","P",1.266,0,0,0
"T0_100","E07",0,"T","P",1.379,0,0.5,0
"T0_50","E07",0,"T","P",1.272,0,0.25,0
"T0_25","E07",0,"T","P",1.312,0,0.125,0
"T0_10","E07",0,"T","P",1.287,0,0.05,0
"T0_0","F07",0,"T","S",1.325,0,0,0
"T0_100","F07",0,"T","S",0.871,0.345177150387754,0.5,0
"T0_50","F07",0,"T","S",0.805,0.395357088549851,0.25,0
"T0_25","F07",0,"T","S",0.716,0.463023974859344,0.125,0
"T0_10","F07",0,"T","S",1.027,0.226570023822799,0.05,0
"T0_0","G07",0,"T","T",1.332,0,0,0
"T0_100","G07",0,"T","T",1.314,0.0136129877987294,0.5,0
"T0_50","G07",0,"T","T",1.312,0.0151255419985883,0.25,0
"T0_25","G07",0,"T","T",1.336,0,0.125,0
"T0_10","G07",0,"T","T",1.307,0.0189069274982354,0.05,0
"T24_100","A01",24,"C","C",0.176,0.558114812189936,0.5,12
"T24_50","A01",24,"C","C",0.218,0.446491849751949,0.25,6
"T24_25","A01",24,"C","C",0.526,0,0.125,3
"T24_10","A01",24,"C","C",0.449,0,0.05,1.2
"T24_100","B01",24,"E","C",0.479,0.485603624671149,0.5,12
"T24_50","B01",24,"E","C",0.975,0,0.25,6
"T24_25","B01",24,"E","C",0.942,0,0.125,3
"T24_10","B01",24,"E","C",0.937,0,0.05,1.2
"T24_100","D01",24,"M","C",-0.004,1,0.5,12
"T24_50","D01",24,"M","C",0.005,1,0.25,6
"T24_25","D01",24,"M","C",0.078,0.92027405792588,0.125,3
"T24_10","D01",24,"M","C",0.779,0.101603861725319,0.05,1.2
"T24_100","E01",24,"P","C",0.458,0.543175487465181,0.5,12
"T24_50","E01",24,"P","C",0.825,0.169169101161764,0.25,6
"T24_25","E01",24,"P","C",0.911,0.0815272776683198,0.125,3
"T24_10","E01",24,"P","C",1.037,0,0.05,1.2
"T24_100","F01",24,"S","C",-0.02,1,0.5,12
"T24_50","F01",24,"S","C",0.047,0.953021262290949,0.25,6
"T24_25","F01",24,"S","C",0.372,0.543322968316665,0.125,3
"T24_10","F01",24,"S","C",0.62,0.230691654760904,0.05,1.2
"T24_100","G01",24,"T","C",-0.017,1,0.5,12
"T24_50","G01",24,"T","C",0,1,0.25,6
"T24_25","G01",24,"T","C",0.015,0.993827642784593,0.125,3
"T24_10","G01",24,"T","C",0.224,0.748886631768107,0.05,1.2
"T24_100","A02",24,"E","C",0.624,0.282622236063532,0.5,12
"T24_50","A02",24,"E","C",0.834,0.0373715353472439,0.25,6
