"cond","sample","m0","sd0","m2","sd2","m18","sd18","variable","means","errors"
"30KDa","C",1.79633333333333,0.089801633244242,1.859,0.0788098978555359,2.04733333333333,0.141877881762216,"1",1,0.070698842637184
"30KDa","E",2.11966666666667,0.55596073002806,2.157,0.511612157791427,1.37966666666667,1.05108531210998,"1",1,0.37092964517339
"30KDa","M",1.82966666666667,0.0205993527406405,1.87533333333333,0.0636893502348182,1.93333333333333,0.0549757522307183,"1",1,0.0159219624823763
"30KDa","S",1.64166666666667,0.00896288643983248,1.68866666666667,0.0015275252316519,1.70666666666667,0.0360185137579736,"1",1,0.00772107749922091
"30KDa","T",1.53566666666667,0.00568624070307738,1.536,0.039344631145812,1.559,0.0373229152130431,"1",1,0.00523652619136745
"0.2uM","C",2.151,0.0715262189689906,2.32966666666667,0.0385529938310028,2.137,0.0743034319530397,"1",1,0.0470261966207412
"0.2uM","E",1.96333333333333,0.0825853094280897,2.156,0.024,2.19166666666667,0.0318956632370818,"1",1,0.0594872315684124
"0.2uM","M",1.99866666666667,0.0721133367230593,1.98233333333333,0.196357666856513,0.303333333333333,0.0260832002126528,"1",1,0.0510258466419587
"0.2uM","S",1.68333333333333,0.0274286954362277,1.57866666666667,0.0251064400768674,0.408333333333333,0.0303699412797149,"1",1,0.0230435840103649
"0.2uM","T",1.36633333333333,0.001527525231652,0.0983333333333333,0.00416333199893226,0.0376666666666667,0.000577350269189626,"1",1,0.00158105408597416
"STARCH","NO_SUP",2.7442,0.0782254501593413,2.9089,0.218176871754137,2.9148,0.103040921865768,"1",1,0.0403132033153855
"NS","NO_SUP",0.0705,0.00275882422620781,0.0681,0.000567646212197547,0.0419,0.00228278582243519,"1",1,0.055341370736263
"30KDa","C",1.79633333333333,0.089801633244242,1.859,0.0788098978555359,2.04733333333333,0.141877881762216,"2",1.03488587864168,0.0655468489755877
"30KDa","E",2.11966666666667,0.55596073002806,2.157,0.511612157791427,1.37966666666667,1.05108531210998,"2",1.01761283220632,0.353626963837369
"30KDa","M",1.82966666666667,0.0205993527406405,1.87533333333333,0.0636893502348182,1.93333333333333,0.0549757522307183,"2",1.02495900892694,0.035779125128647
"30KDa","S",1.64166666666667,0.00896288643983248,1.68866666666667,0.0015275252316519,1.70666666666667,0.0360185137579736,"2",1.02862944162437,0.00553405586861176
"30KDa","T",1.53566666666667,0.00568624070307738,1.536,0.039344631145812,1.559,0.0373229152130431,"2",1.00021706099414,0.0258812390152392
"0.2uM","C",2.151,0.0715262189689906,2.32966666666667,0.0385529938310028,2.137,0.0743034319530397,"2",1.08306214163955,0.0371428541038607
"0.2uM","E",1.96333333333333,0.0825853094280897,2.156,0.024,2.19166666666667,0.0318956632370818,"2",1.0981324278438,0.0435118451758396
"0.2uM","M",1.99866666666667,0.0721133367230593,1.98233333333333,0.196357666856513,0.303333333333333,0.0260832002126528,"2",0.991827885256838,0.105420470205855
"0.2uM","S",1.68333333333333,0.0274286954362277,1.57866666666667,0.0251064400768674,0.408333333333333,0.0303699412797149,"2",0.937821782178218,0.022768992207191
"0.2uM","T",1.36633333333333,0.001527525231652,0.0983333333333333,0.00416333199893226,0.0376666666666667,0.000577350269189626,"2",0.0719687728714321,0.042353727140551
"STARCH","NO_SUP",2.7442,0.0782254501593413,2.9089,0.218176871754137,2.9148,0.103040921865768,"2",1.06001749143648,0.080237525223179
"NS","NO_SUP",0.0705,0.00275882422620781,0.0681,0.000567646212197547,0.0419,0.00228278582243519,"2",0.965957446808511,0.0400101723345231
"30KDa","C",1.79633333333333,0.089801633244242,1.859,0.0788098978555359,2.04733333333333,0.141877881762216,"3",1.13972907775097,0.0854487930678985
"30KDa","E",2.11966666666667,0.55596073002806,2.157,0.511612157791427,1.37966666666667,1.05108531210998,"3",0.650888504481837,0.805726163995027
"30KDa","M",1.82966666666667,0.0205993527406405,1.87533333333333,0.0636893502348182,1.93333333333333,0.0549757522307183,"3",1.05665877208963,0.0305834172025334
"30KDa","S",1.64166666666667,0.00896288643983248,1.68866666666667,0.0015275252316519,1.70666666666667,0.0360185137579736,"3",1.03959390862944,0.0217993479629292
"30KDa","T",1.53566666666667,0.00568624070307738,1.536,0.039344631145812,1.559,0.0373229152130431,"3",1.01519426958975,0.0242249496152694
"0.2uM","C",2.151,0.0715262189689906,2.32966666666667,0.0385529938310028,2.137,0.0743034319530397,"3",0.99349139934914,0.0481111483484242
"0.2uM","E",1.96333333333333,0.0825853094280897,2.156,0.024,2.19166666666667,0.0318956632370818,"3",1.11629881154499,0.0445102197338107
"0.2uM","M",1.99866666666667,0.0721133367230593,1.98233333333333,0.196357666856513,0.303333333333333,0.0260832002126528,"3",0.151767845230153,0.0932515578939892
"0.2uM","S",1.68333333333333,0.0274286954362277,1.57866666666667,0.0251064400768674,0.408333333333333,0.0303699412797149,"3",0.242574257425743,0.0761393361479582
"0.2uM","T",1.36633333333333,0.001527525231652,0.0983333333333333,0.00416333199893226,0.0376666666666667,0.000577350269189626,"3",0.0275676994388875,0.0153686001647361
"STARCH","NO_SUP",2.7442,0.0782254501593413,2.9089,0.218176871754137,2.9148,0.103040921865768,"3",1.06216748050434,0.0454121810426271
"NS","NO_SUP",0.0705,0.00275882422620781,0.0681,0.000567646212197547,0.0419,0.00228278582243519,"3",0.594326241134752,0.0670790282738009
