"V1","V2","len.v1","len.v2","all.in","Vj.real.V1","Vj.real.V2","se.real.V1","se.real.V2","Vj.1.V1","Vj.1.V2","Vj.1.V1.se","Vj.1.V2.se","Vj.2.V1","Vj.2.V1.se","Vj.2.V2","Vj.2.V2.se","Vj.3.V1","Vj.3.V1.se","Vj.3.V2","Vj.3.V2.se","vari","poly","l1","l2","eps.h","eps.h.se","eps.h3","eps.h3.se"
"C","C-E",1,2,TRUE,0,0.497554983536475,0,0.119851363359158,0,0,0,0,0,0,0.497554983536475,0.119851363359158,0,0,0.497554983536475,0.119851363359158,0.497554983536475,"N",0,1,0,0,0,0
"C","C-M",1,2,TRUE,0,0,0,0,0,2.60510350865721,0,0.257948961344854,0,0,0,0.364794919533946,0,0,0,0.364794919533946,0,"N",0,1,0,0,0,0
"C","C-P",1,2,TRUE,0,2.86772662988356,0,0.256380031742829,0,0.339957610763573,0,0.128840164092509,0,0,2.86772662988356,0.314531868724336,0,0,2.86772662988356,0.314531868724336,2.86772662988356,"P",0,1,-3.10862446895044e-15,0,-3.10862446895044e-15,0
"C","C-S",1,2,TRUE,0,1.95347598657458,0,0.069093430194144,0,1.49481754514853,0,0.0561185978486826,0,0,1.95347598657458,0.105225929052669,0,0,1.95347598657458,0.105225929052669,1.95347598657458,"N",0,1,2.22044604925031e-16,0,2.22044604925031e-16,0
"C","C-T",1,2,TRUE,0,8.58407879511591,0,1.27108977684671,0,7.97124445026975,0,0.203194710922311,0,0,8.58407879511591,1.30316744967706,0,0,8.58407879511591,1.30316744967706,8.58407879511591,"N",0,1,0,0,0,0
"E","C-E",1,2,TRUE,0,0.497554983536475,0,0.119851363359158,0,0,0,0,0,0,0.497554983536475,0.119851363359158,0,0,0.497554983536475,0.119851363359158,0.497554983536475,"N",0,1,0,0,0,0
"C-E","C-E-M",2,3,TRUE,0.497554983536475,0.528316968781174,0.119851363359158,0.0911117039040756,0,2.60510350865721,0,0.257948961344854,0.497554983536475,0.119851363359158,-0.579845462634905,0.471757010067616,0.497554983536475,0.119851363359158,0.528316968781174,0.673357776879555,0.030761985244699,"N",0,1,1.10816243141608,0.480474785120136,0,0
"C-E","C-E-P",2,3,TRUE,0.497554983536475,10.0102287513234,0.119851363359158,0.715198481518576,0,0.339957610763573,0,0.128840164092509,0.497554983536475,0.119851363359158,19.5941843390601,1.32053480070254,0.497554983536475,0.119851363359158,10.0102287513234,1.99978328518354,9.51267376778693,"P",0,1,-9.58395558773674,1.50177262854035,0,0
"C-E","C-E-T",2,3,TRUE,0.497554983536475,10.12096222362,0.119851363359158,0.539914412568263,0,7.97124445026975,0,0.203194710922311,0.497554983536475,0.119851363359158,12.3887606786966,1.46403554786841,0.497554983536475,0.119851363359158,10.12096222362,2.1396980496658,9.62340724008352,"N",0,1,-2.26779845507664,1.56041906496982,0,0
"E-M-S-T","C-E-M-S-T",4,5,TRUE,12.0912562032296,11.4200196172765,0.701662249539412,1.37613338967917,12.0711655040755,12.0711655040755,0.333129185497447,0.333129185497447,14.3933418096833,1.29842042962732,13.3572860708347,1.85247891715481,12.6527804233292,2.5874278562699,9.8352272631842,3.70231358462414,-0.6712365859531,"N",0,1,-1.93726645355823,2.30768742352445,1.5847923540923,3.94979353701966
"C-E-M-S-T","C-E-M-P-S-T",5,6,TRUE,11.4200196172765,24.5051141229292,1.37613338967917,0.47265177002643,12.0711655040755,12.4111231148391,0.333129185497447,0.357176205973435,13.3572860708347,1.85247891715481,91.1335226557174,4.36631742829296,9.8352272631842,3.70231358462414,-59.3119327641966,10.4745969973672,13.0850945056527,"P",0,1,-66.6284085327882,4.39182508535164,83.8170468871258,10.4852554548262
"C-E-M-T","C-E-M-S-T",4,5,TRUE,9.53037483024748,11.4200196172765,0.699214046588479,1.37613338967917,10.576347958927,12.0711655040755,0.328368325521343,0.333129185497447,11.9595679262665,1.71473403826592,13.3572860708347,1.85247891715481,7.81901300543602,3.13522661279095,9.8352272631842,3.70231358462414,1.88964478702902,"N",0,1,-1.93726645355823,2.30768742352445,1.5847923540923,3.94979353701966
"C-M","C-M-T",2,3,TRUE,0,8.6104250912212,0,0.425151289627449,2.60510350865721,10.576347958927,0.257948961344854,0.328368325521343,0,0.364794919533946,9.23228648885715,1.55564878572643,0,0.364794919533946,8.6104250912212,2.24072307707492,8.6104250912212,"N",0,1,-0.621861397635952,1.6126985966398,0,0
"C-M-T","C-E-M-T",3,4,TRUE,8.6104250912212,9.53037483024748,0.425151289627449,0.699214046588479,10.576347958927,10.576347958927,0.328368325521343,0.328368325521343,9.23228648885715,1.55564878572643,11.9595679262665,1.71473403826592,8.6104250912212,2.24072307707492,7.81901300543602,3.13522661279095,0.919949739026279,"N",0,1,-2.42919309601902,1.85181346386033,1.71136182481146,3.21224939824094
"C-T","C-M-T",2,3,TRUE,8.58407879511591,8.6104250912212,1.27108977684671,0.425151289627449,7.97124445026975,10.576347958927,0.203194710922311,0.328368325521343,8.58407879511591,1.30316744967706,9.23228648885715,1.55564878572643,8.58407879511591,1.30316744967706,8.6104250912212,2.24072307707492,0.0263462961052898,"N",0,1,-0.621861397635952,1.6126985966398,0,0
